"M","confiabilidade","n","num_pontos","coeficiente","vicio","eqm","pc_amplitude"
1000,0.6,100,3,"alfa_std",-0.115,0.02,"0.606 (0.315)"
1000,0.6,100,3,"alfa ordinal",-0.049,0.009,"0.895 (0.334)"
1000,0.6,100,3,"omega",-0.085,0.012,"0.683 (0.296)"
1000,0.6,100,3,"omega ordinal",-0.015,0.005,"0.922 (0.311)"
1000,0.6,100,5,"alfa_std",-0.085,0.013,"0.746 (0.293)"
1000,0.6,100,5,"alfa ordinal",-0.051,0.009,"0.866 (0.299)"
1000,0.6,100,5,"omega",-0.054,0.007,"0.811 (0.269)"
1000,0.6,100,5,"omega ordinal",-0.019,0.005,"0.909 (0.272)"
1000,0.6,100,7,"alfa_std",-0.075,0.011,"0.784 (0.286)"
1000,0.6,100,7,"alfa ordinal",-0.051,0.009,"0.865 (0.287)"
1000,0.6,100,7,"omega",-0.045,0.006,"0.848 (0.262)"
1000,0.6,100,7,"omega ordinal",-0.021,0.005,"0.911 (0.261)"
1000,0.6,200,3,"alfa_std",-0.113,0.016,"0.392 (0.219)"
1000,0.6,200,3,"alfa ordinal",-0.046,0.005,"0.863 (0.228)"
1000,0.6,200,3,"omega",-0.089,0.01,"0.481 (0.201)"
1000,0.6,200,3,"omega ordinal",-0.019,0.003,"0.92 (0.207)"
1000,0.6,200,5,"alfa_std",-0.081,0.009,"0.615 (0.205)"
1000,0.6,200,5,"alfa ordinal",-0.047,0.005,"0.856 (0.208)"
1000,0.6,200,5,"omega",-0.056,0.005,"0.724 (0.186)"
1000,0.6,200,5,"omega ordinal",-0.02,0.003,"0.916 (0.187)"
1000,0.6,200,7,"alfa_std",-0.072,0.008,"0.693 (0.201)"
1000,0.6,200,7,"alfa ordinal",-0.046,0.005,"0.855 (0.201)"
1000,0.6,200,7,"omega",-0.047,0.004,"0.787 (0.182)"
1000,0.6,200,7,"omega ordinal",-0.021,0.003,"0.911 (0.181)"
1000,0.6,350,3,"alfa_std",-0.115,0.015,"0.153 (0.167)"
1000,0.6,350,3,"alfa ordinal",-0.047,0.004,"0.82 (0.174)"
1000,0.6,350,3,"omega",-0.093,0.01,"0.246 (0.154)"
1000,0.6,350,3,"omega ordinal",-0.023,0.002,"0.906 (0.157)"
1000,0.6,350,5,"alfa_std",-0.082,0.008,"0.414 (0.156)"
1000,0.6,350,5,"alfa ordinal",-0.048,0.004,"0.798 (0.158)"
1000,0.6,350,5,"omega",-0.059,0.005,"0.575 (0.143)"
1000,0.6,350,5,"omega ordinal",-0.024,0.002,"0.891 (0.143)"
1000,0.6,350,7,"alfa_std",-0.072,0.007,"0.518 (0.153)"
1000,0.6,350,7,"alfa ordinal",-0.047,0.004,"0.787 (0.153)"
1000,0.6,350,7,"omega",-0.049,0.004,"0.687 (0.139)"
1000,0.6,350,7,"omega ordinal",-0.024,0.002,"0.898 (0.138)"
1000,0.6,500,3,"alfa_std",-0.113,0.014,"0.053 (0.14)"
1000,0.6,500,3,"alfa ordinal",-0.045,0.003,"0.771 (0.145)"
1000,0.6,500,3,"omega",-0.092,0.01,"0.124 (0.129)"
1000,0.6,500,3,"omega ordinal",-0.022,0.002,"0.874 (0.132)"
1000,0.6,500,5,"alfa_std",-0.079,0.007,"0.294 (0.13)"
1000,0.6,500,5,"alfa ordinal",-0.044,0.003,"0.737 (0.131)"
1000,0.6,500,5,"omega",-0.058,0.004,"0.482 (0.119)"
1000,0.6,500,5,"omega ordinal",-0.022,0.001,"0.864 (0.12)"
1000,0.6,500,7,"alfa_std",-0.07,0.006,"0.389 (0.127)"
1000,0.6,500,7,"alfa ordinal",-0.045,0.003,"0.713 (0.127)"
1000,0.6,500,7,"omega",-0.048,0.003,"0.603 (0.117)"
1000,0.6,500,7,"omega ordinal",-0.023,0.001,"0.863 (0.116)"
1000,0.8,100,3,"alfa_std",-0.084,0.009,"0.418 (0.175)"
1000,0.8,100,3,"alfa ordinal",-0.022,0.002,"0.919 (0.166)"
1000,0.8,100,3,"omega",-0.075,0.007,"0.442 (0.165)"
1000,0.8,100,3,"omega ordinal",-0.012,0.002,"0.923 (0.155)"
1000,0.8,100,5,"alfa_std",-0.053,0.004,"0.712 (0.156)"
1000,0.8,100,5,"alfa ordinal",-0.022,0.002,"0.909 (0.151)"
1000,0.8,100,5,"omega",-0.044,0.003,"0.746 (0.147)"
1000,0.8,100,5,"omega ordinal",-0.014,0.002,"0.918 (0.141)"
1000,0.8,100,7,"alfa_std",-0.044,0.003,"0.781 (0.15)"
