"M","confiabilidade","n","num_pontos","coeficiente","vicio","eqm","pc_amplitude"
1000,0.6,100,3,"alfa_std",-0.074,0.011,"0.797 (0.289)"
1000,0.6,100,3,"alfa ordinal",-0.005,0.006,"0.93 (0.3)"
1000,0.6,100,3,"omega",-0.062,0.009,"0.79 (0.285)"
1000,0.6,100,3,"omega ordinal",0.008,0.005,"0.925 (0.297)"
1000,0.6,100,5,"alfa_std",-0.042,0.007,"0.885 (0.269)"
1000,0.6,100,5,"alfa ordinal",-0.007,0.005,"0.922 (0.271)"
1000,0.6,100,5,"omega",-0.033,0.006,"0.881 (0.263)"
1000,0.6,100,5,"omega ordinal",0.003,0.005,"0.911 (0.265)"
1000,0.6,100,7,"alfa_std",-0.032,0.006,"0.91 (0.262)"
1000,0.6,100,7,"alfa ordinal",-0.007,0.005,"0.928 (0.261)"
1000,0.6,100,7,"omega",-0.023,0.005,"0.906 (0.255)"
1000,0.6,100,7,"omega ordinal",0.002,0.004,"0.912 (0.254)"
1000,0.6,200,3,"alfa_std",-0.071,0.008,"0.712 (0.205)"
1000,0.6,200,3,"alfa ordinal",-0.002,0.003,"0.947 (0.209)"
1000,0.6,200,3,"omega",-0.066,0.007,"0.699 (0.2)"
1000,0.6,200,3,"omega ordinal",0.004,0.003,"0.934 (0.204)"
1000,0.6,200,5,"alfa_std",-0.037,0.004,"0.889 (0.19)"
1000,0.6,200,5,"alfa ordinal",-0.001,0.002,"0.949 (0.191)"
1000,0.6,200,5,"omega",-0.032,0.003,"0.88 (0.186)"
1000,0.6,200,5,"omega ordinal",0.004,0.002,"0.941 (0.186)"
1000,0.6,200,7,"alfa_std",-0.027,0.003,"0.919 (0.186)"
1000,0.6,200,7,"alfa ordinal",-0.001,0.002,"0.944 (0.185)"
1000,0.6,200,7,"omega",-0.023,0.003,"0.909 (0.182)"
1000,0.6,200,7,"omega ordinal",0.003,0.002,"0.936 (0.181)"
1000,0.6,350,3,"alfa_std",-0.071,0.007,"0.529 (0.155)"
1000,0.6,350,3,"alfa ordinal",-0.002,0.002,"0.955 (0.158)"
1000,0.6,350,3,"omega",-0.068,0.006,"0.525 (0.153)"
1000,0.6,350,3,"omega ordinal",0.002,0.002,"0.954 (0.156)"
1000,0.6,350,5,"alfa_std",-0.038,0.003,"0.834 (0.144)"
1000,0.6,350,5,"alfa ordinal",-0.003,0.001,"0.951 (0.145)"
1000,0.6,350,5,"omega",-0.036,0.003,"0.828 (0.143)"
1000,0.6,350,5,"omega ordinal",0,0.001,"0.947 (0.143)"
1000,0.6,350,7,"alfa_std",-0.028,0.002,"0.895 (0.141)"
1000,0.6,350,7,"alfa ordinal",-0.002,0.001,"0.954 (0.14)"
1000,0.6,350,7,"omega",-0.025,0.002,"0.892 (0.139)"
1000,0.6,350,7,"omega ordinal",0,0.001,"0.95 (0.138)"
1000,0.6,500,3,"alfa_std",-0.07,0.006,"0.389 (0.13)"
1000,0.6,500,3,"alfa ordinal",0,0.001,"0.946 (0.132)"
